"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","QGDP","TOT","PC_CHGPP","Q","2015-Q2",0.928264,
"LVA","QGDP","TOT","PC_CHGPP","Q","2015-Q3",0.92372,
"LVA","QGDP","TOT","PC_CHGPP","Q","2015-Q4",-0.399012,
"LVA","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.142774,
"LVA","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.616614,
"LVA","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.236791,
"LVA","QGDP","TOT","PC_CHGPP","Q","2016-Q4",1.639698,
"LVA","QGDP","TOT","PC_CHGPP","Q","2017-Q1",1.64887,
"LVA","QGDP","TOT","PC_CHGPP","Q","2017-Q2",1.28383,
"LVA","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.460313,
"LVA","QGDP","TOT","PC_CHGPP","Q","2017-Q4",0.265824,
